日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20231020,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.35,-0.01,-0.01,0.00,0.00,23924
20231023,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.40,0.05,0.04,0.00,0.00,23901
20231024,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.31,-0.10,-0.07,0.00,0.00,23926
20231025,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.35,0.05,0.03,0.00,0.00,23959
20231026,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.34,-0.01,-0.01,0.00,0.00,23966
20231027,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.34,0.00,0.00,0.00,0.00,23980
20231030,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.41,0.07,0.05,0.00,0.00,23950
20231031,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.50,0.09,0.06,0.00,0.00,24007
20231101,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.47,-0.03,-0.02,0.00,0.00,24059
20231102,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.55,0.08,0.06,0.00,0.00,24085
20231103,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.55,0.00,0.00,0.00,0.00,24094
20231106,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.55,0.00,0.00,0.00,0.00,24081
20231107,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.57,0.02,0.01,0.00,0.00,24106
20231108,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.62,0.05,0.04,0.00,0.00,24111
20231109,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.65,0.02,0.02,0.00,0.00,24105
20231110,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.66,0.01,0.01,0.00,0.00,24107
20231113,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.74,0.08,0.06,0.00,0.00,24088
20231114,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.75,0.01,0.01,0.00,0.00,24108
20231115,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.78,0.03,0.02,0.00,0.00,24115
20231116,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.84,0.06,0.04,0.00,0.00,24119
20231117,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.89,0.05,0.04,0.00,0.00,24128
20231120,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.94,0.05,0.04,0.00,0.00,24121
20231121,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.94,0.00,0.00,0.00,0.00,24142
20231122,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.92,-0.02,-0.01,0.00,0.00,24165
20231123,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.82,-0.10,-0.07,0.00,0.00,24169
20231124,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.88,0.06,0.04,0.00,0.00,24173
20231127,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.83,-0.05,-0.03,0.00,0.00,24174
20231128,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.89,0.06,0.04,0.00,0.00,24199
20231129,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,143.90,0.02,0.01,0.00,0.00,24238
